Lukas Denk|Visualizing the conceptual space of pluractionality|STUF - Language Typology and Universals, vol. 76, no. 1|31-52|2023|
Meagan Vigus, Jens E. L. Van Gysel, Tim O'Gorman, Andrew Cowell, Rosa Vallejos and William Croft|Cross-lingual annotation: a road map for low- and no-resource languages|Proceedings of the Second International Workshop on Designing Meaning Representations (DMR 2020)|30-40|2020|https://aclanthology.org/2020.dmr-1.4/
Julia Bonn, Matt Buchholz, Jayeol Chun, Andrew Cowell, William Croft, Lukas Denk, Sijia Ge, Jens E. L. Van Gysel, Jan Hajic, Kenneth Lai, James H. Martin, Skatje Myers, Alexis Palmer, Martha Palmer, Claire Benet Post, James Pustejovsky, Kristine Stenzel, Haibo Sun, Zdenka Uresova, Rosa Vallejos Yopan, Nianwen Xue, and Jin Zhao|Building an Infrastructure for Uniform Meaning Representation.|2024 Joint International Conference on Computational Linguistics, Language Resource and Evaluation (LREC-COLING 2024), in press||2024|
Julia Bonn, Andrew Cowell, Jan Hajič, Alexis Palmer, Martha Palmer, James Pustejovsky, Haibo Sun, Zdenka Uresova, Shira Wein, Nianwen Xue, and Jin Zhao|UMR Annotation of Multiword Expressions|Proceedings of the Fourth International Workshop on Designing Meaning Representations|99-109|2023|https://aclanthology.org/2023.dmr-1.10.pdf
Sijia Ge, Jin Zhao, Kristin Wright-Bettner, Skatje Myers, Nianwen Xue, and Martha Palmer|UMR-Writer 2.0: Incorporating a New Keyboard Interface and Workflow into UMR-Writer|Proceedings of the 17th Linguistic Annotation Workshop (LAW-XVII)|211–219|2023|https://aclanthology.org/2023.law-1.21.pdf
Haibo Sun and Nianwen Xue|Anchor and Broadcast: An Efficient Concept Alignment Approach for Evaluation of Semantic Graphs|Proceedings of LREC-COLING 2024, Turin, Italy||2024|
Shira Wein and Julia Bonn|Comparing UMR and Cross-lingual Adaptations of AMR|Proceedings of the Fourth International Workshop on Designing Meaning Representations|23-33|2023|
Julia Bonn, Skatje Myers, Jens E. L. Van Gysel, Lukas Denk, Meagan Vigus, Jin Zhao, Andrew Cowell, William Croft, Jan Hajič, James H. Martin, Alexis Palmer, Martha Palmer, James Pustejovsky, Zdenka Urešová, Rosa Vallejos,and Nianwen Xue|Mapping AMR to UMR: Resources for Adapting Existing Corpora for Cross-Lingual Compatibility|Proceedings of the 21st International Workshop on Treebanks and Linguistic Theories (TLT, GURT/SyntaxFest 2023)|74-95|2023| 
Haibo Sun, Yifan Zhu, Jin Zhao, and Nianwen Xue|UMR annotation of Chinese Verb compounds and related constructions|Proceedings of the First International Workshop on Construction Grammars and NLP (CxGs+ NLP, GURT/SyntaxFest 2023)|75-84|2023| 
Jin Zhao, Nianwen Xue, Jens Van Gysel, and Jinho D. Choi|UMR-Writer: A Web Application for Annotating Uniform Meaning Representations|Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing: System Demonstrations|160-167|2021| 
